age_window,drip_DET_med,drip_DET_p5,drip_DET_p95,drip_TRANS_med,drip_TRANS_p5,drip_TRANS_p95,d18O_DET_med,d18O_DET_p5,d18O_DET_p95,d18O_TRANS_med,d18O_TRANS_p5,d18O_TRANS_p95
-1.5,0.71950696166317,0.6334907521902706,0.786111832199782,0.4079254646189985,0.3310184460135775,0.4974173109570424,0.7563301080673537,0.6984636725293133,0.8361923877490336,0.3521900046128121,0.2845298689280048,0.4480566343689941
3.5,0.7159945317840055,0.6403050773057601,0.7925807043286867,0.41303784479460154,0.32228659689679345,0.49811663223464403,0.7588511882068878,0.7009160990548603,0.8407773967009636,0.3612091758555419,0.29587936862285114,0.4533156934766107
8.5,0.7279220779220779,0.6407090179238238,0.7897686053783615,0.412966304941467,0.33553889758369276,0.4889764507066394,0.7581744215611492,0.6882592309372951,0.8263793103448276,0.3671663615397418,0.2972077486272117,0.4616779834434006
13.5,0.7277111513968297,0.638368886457906,0.8011389951671365,0.4103040094961752,0.3320084612937836,0.5018351118608406,0.7648520141040709,0.6977838827838827,0.8375970438936996,0.37849235392864367,0.31357185876684485,0.4770344284807941
18.5,0.7170764246235943,0.6330459992269037,0.7968897405660378,0.4110332834162601,0.32516404597621446,0.49839200062074523,0.763630229419703,0.6945744680851065,0.8362537268932617,0.3856702300698578,0.3055673062766845,0.48181602954196484
23.5,0.7213522551178534,0.6409561940650024,0.8073910008591064,0.410673138206599,0.3219226652394969,0.4902765411873642,0.7623762376237624,0.6894224137931035,0.8362222036681417,0.38880710957992404,0.3124974920252037,0.4931237640079103
28.5,0.7206211451339992,0.6381909547738693,0.811317470913599,0.40421089680882005,0.32480759219394145,0.4993362951701964,0.7627257799671592,0.6905035775744951,0.8325547237752298,0.38839868702104613,0.316016841796691,0.49782212885154054
33.5,0.7240481321839081,0.6483320995650967,0.8039819004524887,0.4002365961223754,0.3225677980876718,0.48252568380463096,0.755376965772433,0.6814903383634314,0.8187528159495382,0.3885400141018861,0.3109740802675585,0.49947631523128677
38.5,0.7222196288948535,0.6318277035873265,0.7970297029702971,0.40241849452055545,0.3174964131994261,0.4835309105787829,0.7505868544600939,0.6820095739360309,0.8172135032652199,0.3917885518701627,0.2990404934817548,0.4951237368792937
43.5,0.7190688775510203,0.6310416567028553,0.7991196478591437,0.3973973933025519,0.32009607643692845,0.48532079007493945,0.7445652173913043,0.6769026360544218,0.814070940359387,0.38621706353301083,0.29997015482869244,0.49923795336045373
48.5,0.7215381367858148,0.639924882629108,0.7990686274509804,0.39593124616612163,0.3244726455398229,0.484396699646138,0.7365802566116784,0.6648917174706017,0.8095648604269294,0.38185937922548,0.2968818614055318,0.5018256979241231
53.5,0.7219512195121951,0.6457916666666667,0.8000523560209424,0.3974880150758051,0.31869058993502397,0.48141281641680994,0.7349033149171271,0.6664965986394558,0.8046380863622243,0.38116981704214326,0.29718976217968646,0.5010148495010086
58.5,0.7135785007072135,0.6443535248815165,0.7990975821515957,0.3971697432288565,0.31625327225302935,0.47125778081201547,0.7326667156826704,0.6666666666666666,0.808522264852924,0.38405094861663014,0.30573195187165775,0.49375205297665187
63.5,0.7178217821782178,0.6349331683168317,0.7957616942306642,0.3903396378368517,0.32034489225313695,0.47716025316939126,0.7323587992602077,0.6695215311004785,0.8100743996399163,0.38525267015454345,0.29802564611435123,0.5047223172539627
68.5,0.71950696166317,0.6420287433155081,0.7905879367453787,0.383610193425599,0.32116498810467886,0.47108367880692226,0.7367137355584081,0.6712362693768607,0.8112546631555848,0.3853769992383854,0.2935643011060345,0.5040472165775156
73.5,0.7189809113300493,0.6407472098720625,0.7889093438062509,0.37749468679752674,0.3201819921440394,0.4681351558217228,0.7319587628865979,0.6665780141843971,0.8069584899666438,0.3798400457575638,0.2970992496347466,0.507553507915513
