age,P_med,P_pc25,P_pc75
73.0,1311.9217513863814,875.2125088038786,2085.2046138826536
318.7842532147265,914.5063759006805,656.5114681645313,1219.2423471846494
365.938421990098,979.7390226984842,709.7993993607511,1275.9270978742109
486.12139489667004,848.6017013748361,599.5906850399778,1118.5436325046526
560.3658500280815,1068.614983840775,774.3659203129121,1379.1986515798997
638.771737057448,997.4226787661412,714.5669844149404,1321.7851722990854
694.69562729213,993.485316806027,712.0499318659936,1294.7504918799752
764.8890349153401,954.8831272284256,687.6320921413519,1248.9521613734512
853.0493538302376,1014.8511531385008,741.784502345352,1333.905555418734
876.594078468302,990.7042128150842,714.9469837243317,1302.5107034810658
964.3808790931605,988.1946883572222,722.6699117380118,1287.7350625771849
1013.770729263003,1000.2466794251454,717.9470678915272,1299.3998807963637
1072.75787261081,999.2328536465868,726.0341561568753,1307.3589659607662
1106.7652704778152,1019.4419412582276,733.2753418770312,1336.2613213430734
1157.15114015293,976.4170756294341,708.1887395628447,1287.0982531281043
1296.287145008565,1035.11924771019,752.3988845124413,1338.9026073146738
1396.956062087955,1061.0995658861511,766.0615054498405,1373.6507145142577
1531.062013895985,1037.1672636706408,752.2900814546039,1365.6014465977473
1634.53775990974,1085.884887265318,790.192994490581,1407.0888484108998
1813.3810068604698,1055.3485438529449,765.4032317293528,1384.5999739468234
1994.735479040735,1072.6447535001112,778.223580848838,1394.632706856998
2079.6846017070447,1119.4662128386776,818.9993092872772,1466.7436557214264
2306.316795817085,1130.8373842313176,821.088859677144,1482.3421607176253
2446.5621940603096,1163.4727160057014,844.7496587305765,1514.4952649084664
2550.56061250716,1176.5776601017342,855.0002269436383,1543.2008280924726
2664.37420423607,1146.5831229044911,836.9217700001141,1495.7563708912116
2690.8530324493,1195.666182382201,865.7069358553787,1565.3701904924865
2717.1707965543246,1232.7572075983994,897.3421787294714,1597.1627072771767
2878.589816590965,1145.5798465696053,834.9794430618126,1489.975626888355
3002.64296448643,1197.1117858803802,875.4308684099034,1558.4675346365027
3039.01291219004,1215.8260328960394,885.3757129373732,1590.079151337764
3148.28974198058,1246.7750800085983,902.5105037640426,1637.0224158249594
3231.46733594439,1097.8387978520996,798.8498739661936,1444.12499707972
3352.8265804788653,1038.570733785055,753.4554626132264,1356.8573629618368
3959.6881739150003,1206.0424152954301,888.6201316681038,1579.9580064114894
4017.9764829175147,1085.5337162651624,779.3437757269339,1418.2194254942742
4044.62295159017,1092.5705820865974,798.8838762946359,1427.3921737060289
4145.490147325891,1099.4535951166629,804.5424006242304,1433.245943412378
4223.2494453101845,1183.2541843756226,859.7213315839806,1554.1744956948598
4316.70384927265,1163.5366402389955,848.5321632928822,1517.8716791615552
4364.02991999862,1104.6851226322908,800.3793880445562,1436.7007864908237
4591.662073720265,1191.8667385991812,859.6643905732337,1558.1752603101281
4781.707438355015,1219.3626003163713,888.7697197190187,1601.6606209765657
4859.949581921305,1292.2238560367314,937.7315483000862,1679.0187490349829
5086.53308182561,897.6736149767337,631.6290824296544,1199.351949199518
5136.3504476650705,867.9431650899744,610.2124505017764,1147.2502757854186
5314.45170116217,1223.5651532414954,884.783167713887,1594.0469809588353
5546.32233440578,1170.5778575504532,859.9163441995543,1531.793355839031
5619.267422702809,1198.2355154907295,871.0292105436644,1584.4509713020898
5802.046138489661,1184.015038954717,865.9382648946133,1532.4357048487866
6058.327420775349,1315.2871642574346,948.9862292969889,1731.895027525388
6128.9977759995945,1399.6659986477403,1008.6163917423677,1837.5416503311205
6558.10949135704,1437.2462140033233,1049.8409104492375,1894.0779244180326
6686.29952374272,1467.4207610228696,1047.7040251258347,1923.4998820327614
6740.8456501446,1490.7595057875164,1070.3422359686285,1964.5208404968535
6774.884568933605,1406.7454645489706,1022.6352097054111,1862.5518925745591
6996.51994207012,1456.2231006080556,1050.7214705668482,1935.4327166167852
7026.066558875635,1485.5407217152513,1069.1638461619725,1963.9360805430454
7304.707574319755,1489.5414035298093,1068.3958893974175,1966.2364737528865
7419.27064498042,1493.3946662807477,1085.254830849324,1962.5791641033766
7502.725760014226,1445.494929188092,1048.102087681436,1909.381861942661
7662.669700573585,1264.960563590532,913.4999342713165,1679.6852458439896
7717.54048880786,1285.9946122513547,935.4203761481324,1690.73588844375
7759.3669726279095,1309.755941380261,945.4143417362066,1717.0995535410075
7870.912550536735,1492.0755012553875,1073.2277489462954,1968.5034210689203
7924.596042778845,1513.8839235966489,1090.951574284053,2012.9072071148646
7955.88886380115,1556.3335903073812,1132.5725965011447,2048.3478238055213
8029.33086432999,1446.2557226787749,1027.9455708087387,1923.7374506649965
8099.576024549655,1464.9241411387059,1063.6114221976268,1929.2489482004416
8178.100670703125,1452.9126130240325,1042.3029319679713,1912.293935873547
8479.158942161856,1391.204382529931,1012.1501628915275,1824.8836580202424
8647.98945155044,1206.5200611064251,879.0095573655558,1583.2705725060564
