depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
1.0,13.707603220209473,14.273257345811908,15.31339152818279,16.63277512901361,18.16381443343109,19.766953311017776,20.850390300897114
2.0,14.949514957951031,15.6140952953326,16.846029085646713,18.427876112847137,20.29069641959581,22.27319925970067,23.63219828481345
3.0,15.786240804095996,16.517800637373064,17.880529805918044,19.64312909054277,21.737444387210363,23.98870308590608,25.545352215090546
4.0,18.97656991216532,19.992628143978106,21.92174050144881,24.489179622023144,27.65028448745244,31.1895222095799,33.72650095006564
5.0,12.844156796967331,13.355002304338852,14.290506681835517,15.470450751961042,16.830357464244063,18.243811671895266,19.19316398775376
6.0,26.39156457619293,28.238128465311828,31.90012933758108,37.11458745986607,44.1203850550512,52.79114144509101,59.53250475547243
7.0,8.425199635216032,8.668493904356279,9.101502080503977,9.626512500319889,10.204047815828536,10.775044023223524,11.143026004820475
8.0,11.149493036286968,11.549488498462356,12.274645079284404,13.17609727139434,14.197257601603756,15.239040266639842,15.927801010283371
9.0,11.377602659246165,11.79262132765915,12.54636831925534,13.485452938708182,14.55203387235148,15.643332975363966,16.366629600303558
10.0,12.718031429226746,13.222722641867888,14.146738970007377,15.311814650531588,16.65419909279877,18.048704906405227,18.98449478131894
11.0,12.267882929230586,12.742957554350577,13.610549571829502,14.700625473913227,15.95107707106956,17.244269055945534,18.10846829233789
12.0,11.50214808499831,11.924909010558476,12.69316495693433,13.65134771938585,14.74092364651981,15.857101463089574,16.59789468163243
13.0,13.210607604794625,13.751422166351894,14.744780019764102,16.003298627631082,17.46106906284544,18.98516500731185,20.014462178366266
14.0,12.428719006345297,12.91503722896054,13.804179284943435,14.923074078558676,16.20867383061451,17.541033851184302,18.433367533916243
15.0,11.807413553243702,12.25516317891424,13.07132163666767,14.093448191223468,15.26193950172511,16.46535117038679,17.268497031291172
16.0,12.059595296415372,12.524390994312585,13.372667552235193,14.43790785929624,15.658628824014466,16.920256014215273,17.76216999849301
17.0,12.704800119505114,13.212161859862835,14.141896208750518,15.315051645394233,16.668649048735052,18.076253668804863,19.02208610293585
18.0,11.557912603910896,11.988319826329606,12.771345954320283,13.749765596020788,14.864757112029364,16.009785719902343,16.770034874169795
19.0,11.102492754812952,11.505447062272982,12.236876707776004,13.14764569474675,14.181473057291994,15.237924860112877,15.937525900354682
20.0,9.137747509996732,9.421560378641065,9.92981600722282,10.550700599951575,11.239748388446744,11.927735212236833,12.37444448612871
21.0,8.92553945872956,9.199175941968988,9.688557958195622,10.285535899060251,10.946947240941418,11.60612707255525,12.033496851185316
22.0,10.580413066526596,10.944971991953684,11.603628563378011,12.418185085354525,13.335289081773096,14.26486223144808,14.876185817123416
23.0,6.747651683755779,6.9205047926315135,7.225573056286832,7.591126519198607,7.987923129645184,8.375128409242578,8.621787458418119
24.0,9.818278516787974,10.138171263057911,10.713338581463509,11.419824311433985,12.208935446361462,13.002028911596993,13.51991171366331
25.0,7.708833946552958,7.925098753192222,8.309373776051961,8.773755341946094,9.282786667800544,9.78443880137456,10.106891492396011
26.0,9.742259995790508,10.058677944260156,10.627331711856778,11.32553730556314,12.105066430195317,12.888214772586151,13.399251917809748
27.0,9.488917996918712,9.79098874720491,10.333045824163186,10.996983249912796,11.736264555457764,12.47682075533722,12.959005963026508
28.0,8.883982797258481,9.154558514033276,9.638402444982514,10.228078664534536,10.880874877219911,11.5309733263422,11.952216161795986
29.0,10.79237584394816,11.16808818453759,11.847336445424911,12.68840267616774,13.636830969111378,14.599659416526707,15.233655129898576
30.0,10.813672775537803,11.189661188843,11.86931941263664,12.710790536658395,13.659447960962002,14.622380545405598,15.256289618584834
