depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
0.18,13.117818307602164,13.63512653741817,14.57545915344973,15.748752682902325,17.08366400530591,18.45194376605584,19.36001226753386
0.3,13.41943233974921,13.956020851681089,14.932850963883128,16.154288101646316,17.547479065832217,18.97931326364314,19.93180766712338
0.42,13.869779479019003,14.43585500972653,15.468541123938747,16.76392860854373,18.247048130147377,19.777531918201657,20.799095669240454
0.54,12.274560181163253,12.739740778953143,13.581752762839145,14.62618286418652,15.806245051502234,17.006819974337393,17.79865040252259
0.66,13.075603373735126,13.590234921748923,14.52552170286159,15.692160856542806,17.01903558283124,18.378566662461058,19.2805925117374
0.78,15.161346490136454,15.815941633113024,17.017738658150567,18.53912051427429,20.30017563903123,22.139251302907866,23.379263464490347
0.9,13.777811003700585,14.337797717409016,15.358951884769002,16.639020140076614,18.10347935540004,19.613480569169813,20.62063910837742
1.02,12.786085719594588,13.282581310458273,14.183567581496488,15.305161648320428,16.57775377868734,17.87830202751887,18.73933257630723
1.14,13.160254964666558,13.680263881408234,14.625664241248142,15.805657562115735,17.148682213628614,18.525789536883583,19.440034624946342
1.26,13.777811003700585,14.337797717409016,15.358951884769002,16.639020140076614,18.10347935540004,19.613480569169813,20.62063910837742
1.38,15.268633819590256,15.930885693418857,17.147345825179446,18.688465483938764,20.4740114963742,22.340523879229035,23.600127676427697
1.5,14.296185218069065,14.890780095776938,15.977834320379284,17.345511887005447,18.91704252561977,20.54510818134117,21.63539328138557
1.62,15.268633819590256,15.930885693418857,17.147345825179446,18.688465483938764,20.4740114963742,22.340523879229035,23.600127676427697
1.74,16.11442030686911,16.838350722437706,18.173559556989684,19.87541928748153,21.86163742936021,23.954645933908186,25.376799322051333
1.86,15.108094185754776,15.75897371008204,16.953533198498743,18.465195859103883,20.21419911480193,22.0397749942209,23.270199507117876
1.98,16.055673892054987,16.77523102047846,18.10203298893686,19.79242145263572,21.76425108741845,23.840930536669667,25.251346096824037
2.1,16.11442030686911,16.838350722437706,18.173559556989684,19.87541928748153,21.86163742936021,23.954645933908186,25.376799322051333
2.34,17.568765220158294,18.404928568755068,19.95816559250742,21.958780296911417,24.32369506230566,26.85134785994236,28.59000186042092
2.46,16.17348261691836,16.90183451210249,18.245572503199494,19.95901530960304,21.959767176450335,24.06930805348433,25.503367075732804
2.58,16.53555671752777,17.291152315731313,18.68770053011431,20.47311781338637,22.564523489736278,24.777309846843384,26.28612858761998
