age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
-51,4.157975271425136,4.661737562337737,6.76343585292525,14.221740959229342,23.43728995720673,40.47760053299999,54.42992401258852
-50,4.157975271425136,4.661737562337736,6.763435852925248,14.221740959229338,23.437289957206737,40.47760053299997,54.42992401258847
-49,4.157975271425136,4.661737562337736,6.763435852925248,14.221740959229338,23.437289957206737,40.47760053299997,54.42992401258847
-48,4.157975271425136,4.661737562337736,6.763435852925248,14.221740959229338,23.437289957206737,40.47760053299997,54.42992401258852
-47,4.157975271425136,4.661737562337736,6.763435852925248,14.221740959229338,23.43728995720674,40.47760053299997,54.42992401258847
-46,4.157975271425136,4.661737562337736,6.7634358529252445,14.221740959229331,23.43728995720675,40.47760053300001,54.429924012588565
-45,4.157975271425136,4.661737562337736,6.7634358529252445,14.221740959229331,23.43728995720675,40.47760053300001,54.429924012588565
-44,4.157976262135374,4.661739856622075,6.763445377804511,14.221774785827089,23.43725586105053,40.47756182739393,54.42987590148317
-43,4.157976262135374,4.661739856622075,6.763445377804511,14.221774785827089,23.43725586105053,40.47756182739393,54.42987590148317
-42,4.157976262135374,4.661739856622075,6.763445377804511,14.221774785827089,23.43725586105053,40.47756182739393,54.42987590148317
-41,4.157976262135374,4.661739856622075,6.763445377804511,14.221774785827089,23.43725586105053,40.47756182739393,54.42987590148317
-40,4.181340834823548,4.716070688137018,6.992900570021868,14.819923247889704,22.65420368430953,39.58066380424212,53.31358424839239
-39,4.18134083482396,4.716070688137985,6.992900570025996,14.81992324789496,22.65420368429608,39.58066380422659,53.31358424837276
-38,4.18134083482396,4.716070688137985,6.992900570025996,14.81992324789496,22.65420368429608,39.58066380422659,53.31358424837276
-37,4.18134083482396,4.716070688137985,6.992900570025996,14.81992324789496,22.65420368429608,39.58066380422659,53.31358424837276
-36,4.189619449014751,4.735512314108973,7.076907270618228,14.841603700724702,22.38833737387612,39.272032579945694,52.92893862332189
-35,4.189627227511616,4.735530581251658,7.076986818472389,14.841617117751628,22.3880909964674,39.27174457393134,52.92857964209039
-34,4.1896272275123865,4.735530581253467,7.07698681848027,14.841617117752982,22.3880909964433,39.2717445739038,52.92857964205687
-33,4.1896272275123865,4.735530581253468,7.076986818480272,14.841617117752982,22.3880909964433,39.27174457390382,52.92857964205692
-32,4.194405118610207,4.746751054815005,7.126110582972553,15.042652570275823,22.239916332240192,39.095563994922855,52.70888167812242
-31,4.194612130776023,4.7472372053960665,7.128249080223954,15.056028014915924,22.233688881584143,39.08796871162903,52.69939479955293
-30,4.19461246211457,4.74723798351665,7.128252503049711,15.056049949398613,22.233678914080883,39.08795655480677,52.69937963967782
-29,4.194612462272056,4.747237983886492,7.128252504676586,15.056049959824575,22.23367890934301,39.08795654902795,52.69937963247155
