year,baseflow,P_mm,T_degC,PT_h
2004,19.2857142857143,1079.5,17.3262683333333,0.1705797155999898
2005,18.2142857142857,999.0,17.0495858333333,0.1604210778538447
2006,16.0714285714286,815.4,18.3982166666667,0.1213402131453417
2007,21.4285714285714,1247.0,17.5019891666667,0.1950692517885928
2008,28.9285714285714,1354.0,17.1147841666667,0.21659928221571348
2009,21.4285714285714,963.0,17.5109316666667,0.15056596406158526
2010,21.4285714285714,986.9,17.1900766666667,0.15718283252686668
2011,18.2142857142857,860.6,16.9758466666667,0.13879687026346932
2012,15.0,770.566666666667,16.4373933333333,0.12834739134658604
2013,14.4642857142857,801.6,18.130075,0.121050861122477
2014,12.8571428571429,843.0,17.1743691666667,0.1343867824870049
2015,12.8571428571429,939.0,17.5915683333333,0.14614057373416195
2016,13.9285714285714,1203.8,17.8603266666667,0.18453328648801964
2017,18.2142857142857,1220.2,17.8609891666667,0.18704034246284984
2018,13.9285714285714,868.0,17.858945,0.1330680218361535
2019,11.25,597.8,18.01502,0.09085125637093769
2020,16.0714285714286,1499.6,17.4582116666667,0.2351719132963862
2021,16.0714285714286,1066.6,17.8363833333333,0.16372106356885344
2022,12.8571428571429,855.4,18.2477183333333,0.12834248756649871
2023,10.7142857142857,1067.6,18.1265866666667,0.1612509599348485
