depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
0.18,13.1173584899277,13.634745250847674,14.575238607850716,15.748743709721454,17.083942220030178,18.45255365587003,19.36087908773311
0.3,13.418954270188577,13.955623397303723,14.93261638442826,16.15429181620886,17.547771489928163,18.979965309430828,19.93272794983074
0.42,13.869263797455917,14.435431228498864,15.468299823758702,16.763912204578787,18.247364985949144,19.77821039444298,20.80003952723007
0.54,12.274137991529075,12.739392994442056,13.581556619977064,14.626173021299438,15.806502895307128,17.007348127595986,17.7993576749602
0.66,13.07513167686572,13.589852235863969,14.525306466672488,15.692154192693469,17.01932550964485,18.379171359981516,19.281422591726187
0.78,15.160746858301051,15.81545381190138,17.0174639690794,18.539111781041143,20.300566721704158,22.140077435150843,23.38040680158248
0.9,13.777330644479695,14.337390106274718,15.358701816754245,16.639019730939495,18.103781662026805,19.614158617050943,20.62161681431113
1.02,12.785651192083789,13.282219969565643,14.183353907352656,15.305174310776168,16.578018479672902,17.87889400190175,18.740164018193905
1.14,13.159810475397624,13.67988821674587,14.625436121574188,15.805667595080324,17.148967032311937,18.52641399227653,19.44090729714223
1.26,13.777330644479695,14.337390106274718,15.358701816754245,16.639019730939495,18.103781662026805,19.614158617050943,20.62161681431113
1.38,15.26804828636092,15.930402239404344,17.14706002197204,18.68847572647272,20.47440347370853,22.341381371665577,23.601321494795023
1.5,14.29563953382159,14.890340347744996,15.97758306521933,17.345509784554114,18.917378625977072,20.545839038166843,21.63640364791334
1.62,15.26804828636092,15.930402239404344,17.14706002197204,18.68847572647272,20.47440347370853,22.341381371665577,23.601321494795023
1.74,16.11376709493192,16.837810168839663,18.173250119704463,19.87541159008592,21.86207908962448,23.95559988107019,25.37812643318373
1.86,15.10753319179477,15.75850000080286,16.953246060190228,18.465200518457564,20.214578742588344,22.040605633251698,23.27135822060303
1.98,16.05507106994265,16.77471476135491,18.101710992736205,19.792438715111484,21.7646761156268,23.841886967206065,25.25269830141464
2.1,16.11376709493192,16.837810168839663,18.173250119704463,19.87541159008592,21.86207908962448,23.95559988107019,25.37812643318373
2.34,17.56804463802344,18.404316701297947,19.95779334543871,21.95876341450984,24.32421619908786,26.852498769669584,28.591636519767864
2.46,16.172858819752978,16.901312177482062,18.245255712166568,19.95900810100249,21.960192359739462,24.070255197499616,25.50473057640668
2.58,16.534898321362533,17.290606684854687,18.68737638536392,20.473132827743203,22.564974229908746,24.778316553039407,26.28757643355864
2.7,17.366382249512718,18.1866123016461,19.70879968372768,21.666616965677395,23.976891359534797,26.44127662022644,28.13354256390081
2.94,18.12517417470677,19.006490691719563,20.648150546089298,22.771372681841918,25.29376462791253,28.004922932924085,29.8789449390334
