depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
0.18,12.762555904404085,13.27170532760586,14.211331747965422,15.41054425635413,16.813231686648795,18.295555636683492,19.305511167841377
0.3,13.736773058444092,14.321407234658324,15.408354878951634,16.810661691297422,18.472316459223656,20.25426305903642,21.48420453182524
0.42,12.762555904404085,13.27170532760586,14.211331747965422,15.41054425635413,16.813231686648795,18.295555636683492,19.305511167841377
0.54,11.9085147765952,12.355820391570076,13.17606926269188,14.213226232583851,15.412771221242124,16.664936098704086,17.50911586078066
0.66,13.736773058444092,14.321407234658324,15.408354878951634,16.810661691297422,18.472316459223656,20.25426305903642,21.48420453182524
0.78,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
0.9,13.736773058444092,14.321407234658324,15.408354878951634,16.810661691297422,18.472316459223656,20.25426305903642,21.48420453182524
1.02,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
1.14,13.736773058444092,14.321407234658324,15.408354878951634,16.810661691297422,18.472316459223656,20.25426305903642,21.48420453182524
1.26,12.762555904404085,13.27170532760586,14.211331747965422,15.41054425635413,16.813231686648795,18.295555636683492,19.305511167841377
1.38,12.762555904404085,13.27170532760586,14.211331747965422,15.41054425635413,16.813231686648795,18.295555636683492,19.305511167841377
1.5,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
1.62,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
1.74,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
1.86,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
1.98,13.736773058444092,14.321407234658324,15.408354878951634,16.810661691297422,18.472316459223656,20.25426305903642,21.48420453182524
2.1,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
2.34,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
2.46,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
2.58,15.48476144857639,16.21846306846967,17.600490361082223,19.418866976100944,21.62697818446207,24.061697192991403,25.78397103585268
2.7,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
2.94,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
3.06,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
3.18,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
3.3,15.48476144857639,16.21846306846967,17.600490361082223,19.418866976100944,21.62697818446207,24.061697192991403,25.78397103585268
3.42,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
3.54,15.48476144857639,16.21846306846967,17.600490361082223,19.418866976100944,21.62697818446207,24.061697192991403,25.78397103585268
3.66,16.897956239101976,17.764817576189785,19.415457265937885,21.622852879067715,24.359324165973423,27.4504447634533,29.68540027990629
3.9,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
4.02,17.698494043251035,18.646044581039007,20.46110891402312,22.911404210060528,25.98624609985877,29.509557404880805,32.09034821216812
4.14,15.48476144857639,16.21846306846967,17.600490361082223,19.418866976100944,21.62697818446207,24.061697192991403,25.78397103585268
4.26,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
4.38,14.27694892248779,14.905941010888442,16.0798233141638,17.603277337130645,19.422243961924018,21.38927675284356,22.756560822293288
4.5,15.48476144857639,16.21846306846967,17.600490361082223,19.418866976100944,21.62697818446207,24.061697192991403,25.78397103585268
4.62,21.761889291647183,23.17616395730759,25.971799957044663,29.93688010764949,35.24901052694349,41.83926135720738,47.030056030232814
4.74,13.23308288073521,13.778084677917674,14.787393406874298,16.082189866109264,17.606125323375988,19.22801930597904,20.339915872582964
4.86,11.153904564125046,11.549782737689323,12.271935354504846,13.177732419701275,14.215127420205746,15.286641757762954,16.002711652113653
4.98,11.153904564125046,11.549782737689323,12.271935354504846,13.177732419701275,14.215127420205746,15.286641757762954,16.002711652113653
5.1,14.858124914389766,15.536388792850357,16.808049535372636,18.469246255261407,20.46859524955901,22.65086554748178,24.18060835554724
5.22,21.761889291647183,23.17616395730759,25.971799957044663,29.93688010764949,35.24901052694349,41.83926135720738,47.030056030232814
5.34,17.698494043251035,18.646044581039007,20.46110891402312,22.911404210060528,25.98624609985877,29.509557404880805,32.09034821216812
5.46,32.22251890079649,35.20716990395471,41.47865291228293,51.11135553071312,64.58133850296402,79.37251234060334,87.60230153481936
5.58,17.698494043251035,18.646044581039007,20.46110891402312,22.911404210060528,25.98624609985877,29.509557404880805,32.09034821216812
5.7,9.880694961377175,10.197237585752877,10.769163771316473,11.476944410624776,12.274851547164864,13.084949548487598,13.61837502732874
5.94,58.28423470514607,63.8195702137081,73.69683630101619,84.36321609593118,92.69357572664649,97.15175982957822,98.58070802234224
6.06,13.23308288073521,13.778084677917674,14.787393406874298,16.082189866109264,17.606125323375988,19.22801930597904,20.339915872582964
6.18,51.026881830476725,56.34406941036685,66.50419365754742,78.72668093998183,89.46229114131654,95.76330653820438,97.87083685539469
6.3,11.9085147765952,12.355820391570076,13.17606926269188,14.213226232583851,15.412771221242124,16.664936098704086,17.50911586078066
6.42,19.53336940615196,20.679513365659098,22.9066168059636,25.980106047732303,29.94944615847049,34.65925397530327,38.22371674400644
6.54,37.2546446907841,41.03993320846577,48.98347394815494,60.78842582482729,75.44962760835085,88.09052756452736,93.54996916472908
6.66,20.590975046731263,21.86088452577125,24.34823891996296,27.825577773901266,32.395209792259166,37.93257525989944,42.20499177608472
6.78,26.14394932219137,28.16556899720231,32.294437109458705,38.45571053799328,47.24236004955889,58.72675308971128,67.72666126102222
6.9,13.23308288073521,13.778084677917674,14.787393406874298,16.082189866109264,17.606125323375988,19.22801930597904,20.339915872582964
7.1,8.84846068857435,9.107133308920538,9.571106215759665,10.139159102828009,10.771474974711978,11.40495528541702,11.817628379291644
8.09,10.482249412483888,10.835146050015275,11.475671796183192,12.273397265185768,13.17935399751547,14.106569011506004,14.72131705700586
9.08,10.173387800534485,10.507356580759676,11.112178356787854,11.862947894937369,12.712287714916066,13.577959061572152,14.150077512401513
