depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
0.18,13.0128889934592,13.543427658045893,14.5154133762678,15.742919349623598,17.159363487731188,18.632235128008688,19.622188048864583
0.3,13.584864452104426,14.154886068801265,15.202438520271206,16.530994787908817,18.072446741158075,19.68537380373746,20.774535988822645
0.42,13.45844816023215,14.02143985658692,15.055884875267822,16.367488851629062,17.887627298023368,19.47727167742364,20.5506146988528
0.54,12.15370561235014,12.626209024733512,13.487679698975,14.567799905634288,15.803769185633069,17.077638962288237,17.927180749981087
0.66,13.369717179364924,13.92369387633786,14.940957746401798,16.228772907733735,17.718792513827843,19.27420360814069,20.322971936569733
0.78,15.101410623495685,15.78604867875498,17.056163985350775,18.68778867017868,20.60957640338666,22.65677845512783,24.060559333236696
0.9,13.806755685598151,14.393236868468469,15.473217658233802,16.845092577686696,18.43998478870105,20.114324867620716,21.247924864634378
1.02,13.574676702967988,14.141567932518296,15.183196090257912,16.50274027533612,18.03240447560802,19.632211295466483,20.71154723805372
1.14,13.422981005159226,13.98086228747877,15.005400300653992,16.30334043299774,17.80607271432148,19.375461770196956,20.434110191222867
1.26,13.404519756540273,13.96348510100787,14.990475812735406,16.29173644986534,17.7988039355271,19.374586695382693,20.4378822926355
1.38,14.259053129167055,14.882745519324288,16.034240327748417,17.50447123561085,19.224445022464067,21.039348280293893,22.274346072833666
1.5,14.338328638097986,14.96417181424996,16.11986645183732,17.594475460091335,19.31813133925272,21.138240395322764,22.376484946991926
1.62,14.933351683220229,15.606096077360718,16.852889967767684,18.452180331966808,20.33411565137344,22.335199815802586,23.70466048934263
1.74,15.684501881299804,16.41713190533981,17.781224379930077,19.542013341357645,21.62996146741614,23.870461706053632,25.41554017108455
1.86,15.068329499084625,15.750330433315057,17.015352558392337,18.63970753622718,20.552356361361028,22.58909074139364,23.985102725861907
1.98,15.161023707968964,15.853600251137294,17.139211207021102,18.792836170159724,20.743266174158297,22.825943367718185,24.255788465428665
2.1,15.43725998425807,16.15106866100326,17.477268619603926,19.18718467038246,21.210869433096807,23.37321372901773,24.86207537866137
2.34,16.275106050619783,17.0596308995415,18.52518717131835,20.42864870137633,22.70301806312435,25.15799249134388,26.863412413277214
2.46,15.720120858080517,16.455692723491133,17.825654318033795,19.594635550407663,21.69293450898912,23.945833901719407,25.500285545996263
2.58,16.197111349640082,16.97164506854696,18.41685031991325,20.29108717764349,22.526028962449544,24.935641139592164,26.60645137238528
2.7,16.16107583772289,16.935804586388528,18.38167207924387,20.25829416046718,22.4973157092634,24.91011021656429,26.585420381364024
2.94,16.86574506311685,17.700287621609526,19.264031944906367,21.30632247030459,23.7604384359286,26.42964484260647,28.29696559798593
3.06,15.333905698259848,16.039182190787674,17.348670008732995,19.03580752372476,21.029628623513847,23.15856815496452,24.622963756942763
3.18,16.584210548683075,17.39386488169284,18.90915555460172,20.882098914591083,23.244384791264107,25.810019492049072,27.597208999605453
3.3,16.86187757818014,17.694313992169462,19.25355598577961,21.28883935841981,23.733557344950714,26.391597309811388,28.249511270116333
3.42,16.42746362443191,17.22343967577131,18.712170797810007,20.646690620858788,22.960115007776448,25.465943101755897,27.20757222373549
3.54,16.82132656828107,17.650154991869503,19.20226480522213,21.227629014902572,23.658946548152304,26.301859243940427,28.14824444731902
3.66,18.383167318225325,19.351527062057727,21.18170838095489,23.602528665172624,26.556404224565465,29.833466186545937,32.16135134707426
3.9,18.226502741224124,19.18643961355084,21.001205133396784,23.398790139933624,26.326272511201665,29.576441935686333,31.88121445564139
4.02,19.62726053335625,20.715555078815044,22.786795490093745,25.556630624648207,28.98572535273313,32.84973427953054,35.63678136156667
4.14,17.712922755996736,18.62248714169256,20.33517821270719,22.58852075948551,25.321034828731243,28.325115457134537,30.446399871824827
4.26,16.313366610731666,17.101180822015536,18.57350863204378,20.486038614779,22.772237653975196,25.242305895429883,26.95811866165221
4.38,15.718872695006876,16.455985343224985,17.829083155945508,19.60257635974549,21.70742713060708,23.969060489493472,25.52983246957631
4.5,15.79294885774302,16.53294812825781,17.911165044473343,19.69217825013464,21.80496991747576,24.07378550038732,25.640341772501863
4.62,19.927164446914883,21.03558944915291,23.14806793425649,25.973780337875915,29.475918030905824,33.428769616228806,36.28004428803092
4.74,13.999328431951325,14.601681457603812,15.711874319470729,17.12597762562585,18.77376119455438,20.50758616786474,21.68433533104908
4.86,12.2890476032748,12.772800909904769,13.656125133846713,14.765225133896257,16.036849613754622,17.35262411971761,18.231397939895157
4.98,12.45293954319224,12.948153255786265,13.853344624983922,14.991806071921008,16.29865504419097,17.651537351949525,18.55700973294157
5.1,17.455412723720897,18.343219312898317,20.013506048178957,22.205659269490717,24.85624079358908,27.769666257353688,29.81902827262344
5.22,22.4718500803162,23.852785572441523,26.52609785181923,30.186783498094176,34.86670914021144,40.3432011938785,44.43077917776083
5.34,20.87388721166053,22.09150725294742,24.426825563320804,27.58637973308213,31.55697160216691,36.109957504931046,39.449190621262616
5.46,33.3336094447148,36.1544021920986,41.93459146004648,50.57452251552856,62.71721613631978,77.65664690249967,87.99753415170089
5.58,17.866365415621463,18.78429201774304,20.513425670926296,22.78685804198384,25.54516274162044,28.579608810468464,30.720353282491917
5.7,10.60782731542366,10.98515442103321,11.667289042709704,12.512292612076983,13.465322321121633,14.4329092979956,15.070169406559486
5.94,13.230009829856906,13.785326331628008,14.807235732314904,16.105573437637336,17.614730082490066,19.200272080423087,20.274531451551603
6.06,14.54110108707352,15.185412286925397,16.37720907711749,17.9022138504175,19.689433963174267,21.58395347163681,22.87671247404764
6.18,13.92329662279906,14.522473343818309,15.627370780031928,17.034229859631957,18.674111120551178,20.40233176844509,21.575206393214316
6.3,13.305492158524604,13.85953440071122,14.877532482946366,16.16624586884641,17.65878827792809,19.22071006525337,20.273700312380992
6.42,21.87752915765132,23.198489920823583,25.745596722282063,29.221810018092786,33.637089428554425,38.77135842501686,42.57851313535888
