age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
-51,10.925069629473894,11.967082325656715,15.16399856505435,19.558364954327054,30.141637247839252,47.56799827958254,62.23794773030969
-50,10.925069629473892,11.967082325656712,15.163998565054353,19.558364954327065,30.141637247839267,47.56799827958256,62.23794773030974
-49,10.925069629473892,11.967082325656712,15.163998565054353,19.558364954327065,30.141637247839267,47.56799827958256,62.23794773030974
-48,10.925069629473892,11.967082325656712,15.163998565054353,19.558364954327065,30.141637247839267,47.56799827958256,62.23794773030974
-47,10.92506962947389,11.967082325656712,15.163998565054351,19.55836495432706,30.141637247839267,47.56799827958256,62.23794773030978
-46,10.925069629473894,11.967082325656714,15.16399856505436,19.558364954327075,30.141637247839288,47.56799827958256,62.23794773030974
-45,10.925069629473894,11.967082325656714,15.16399856505436,19.558364954327075,30.141637247839288,47.56799827958256,62.23794773030974
-44,10.925075701262871,11.96709298422846,15.164028428071108,19.558293613555012,30.141543295970536,47.56789312702463,62.23783313557687
-43,10.925075701262871,11.96709298422846,15.164028428071108,19.558293613555012,30.141543295970536,47.56789312702463,62.23783313557687
-42,10.925075701262871,11.96709298422846,15.164028428071108,19.558293613555012,30.141543295970536,47.56789312702463,62.23783313557687
-41,10.925075701262871,11.96709298422846,15.164028428071108,19.558293613555012,30.141543295970536,47.56789312702463,62.23783313557687
-40,10.975416721652683,12.055551694571335,14.89493229985395,18.963290747370817,29.420619031872498,46.71240108154462,61.30233790956482
-39,10.975416721653376,12.055551694572559,14.894932299851428,18.963290747362937,29.420619031863218,46.71240108153356,61.30233790955294
-38,10.975416721653376,12.055551694572559,14.894932299851428,18.963290747362937,29.420619031863218,46.71240108153356,61.30233790955294
-37,10.975416721653376,12.055551694572559,14.894932299851428,18.963290747362937,29.420619031863218,46.71240108153356,61.30233790955294
-36,11.023363053038171,12.140233831391614,14.818333680886278,18.377530844618445,28.778820767980292,45.93155841679627,60.4441900574624
-35,11.023406300218857,12.140310195872807,14.81828689873649,18.376987697070394,28.77825578644033,45.93086805493757,60.443429759566826
-34,11.02340630022313,12.14031019588035,14.81828689873187,18.376987697016745,28.77825578638448,45.93086805486921,60.44342975949125
-33,11.02340630022313,12.14031019588035,14.818286898731866,18.37698769701673,28.778255786384467,45.93086805486921,60.44342975949125
-32,11.037170256197397,12.16471681125743,15.026032907120886,18.34770388147842,28.599408246043602,45.71207781790118,60.20222934727576
-31,11.037711060986677,12.165678455394472,15.039965281216325,18.347402398030624,28.592432565318116,45.70351520273886,60.19279283825189
-30,11.037711922195388,12.165679986772016,15.039988069128356,18.347401952611023,28.592421456842253,45.70350156713735,60.19277781660211
-29,11.037711922604723,12.165679987499884,15.039988079960029,18.347401952399327,28.592421451562267,45.70350156065613,60.19277780946212
-28,11.020177305352735,12.134608540555286,15.42897038788692,18.482935366050476,28.82050431131152,45.98247922208221,60.500275708272824
-27,11.014921816243778,12.125328566858625,15.60086613602459,18.520245677486525,28.889504952411233,46.06671452446668,60.5930265050669
-26,11.014642420235145,12.124835218369586,15.609974770123602,18.522393854030437,28.893178184566377,46.07120192005833,60.59796153437768
-25,11.013117445067692,12.122142466249162,15.595339407133164,18.533555702549567,28.91326897139877,46.09569463517286,60.624936505187485
-24,10.99341560778246,12.087353459756859,15.453750883263245,18.75167862354872,29.175746908638235,46.41527781417207,60.97629624529279
