depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95,censored,drip_upper_bound,pc50_for_continuity
0.18,12.942802966089523,13.45739959176416,14.399740222165804,15.588323816520132,16.958035023316842,18.381666653178645,19.33756861070644,0,,15.588323816520132
0.3,13.565751985222036,14.12323929602003,15.14759921962226,16.446173816669315,17.95171773609313,19.526863246636623,20.590532869026905,0,,16.446173816669315
0.42,13.3188051393475,13.86067734609087,14.855347587612188,16.11433879477556,17.571326401850616,19.09257069882042,20.11798014666562,0,,16.11433879477556
0.54,12.091658478246076,12.549206078549307,13.382939410578182,14.426907139455444,15.619796351705755,16.848130338428298,17.666559797265915,0,,14.426907139455444
0.66,13.381355139492577,13.925240350997855,14.923415377049968,16.186636501555945,17.64821217677209,19.1739275972224,20.202217061948865,0,,16.186636501555945
0.78,15.01426537737094,15.681114294499343,16.916956043126874,18.503644431093576,20.37169296549712,22.35942850344721,23.721413868959004,0,,18.503644431093576
0.9,13.755233643624864,14.32682515859615,15.378485888634184,16.713957175252887,18.26561657517541,19.892741312160908,20.99369365386035,0,,16.713957175252887
1.02,13.698240540757997,14.262717208522297,15.300568067481109,16.61678562143488,18.14377066791266,19.74220849377186,20.822170960268224,0,,16.61678562143488
1.14,13.426965339654702,13.974218867370164,14.978865894286312,16.2507331494999,17.72315984661652,19.26096024838778,20.29793047865265,0,,16.2507331494999
1.26,13.273448496762107,13.811989852663617,14.800319749455864,16.050626445816675,17.496921447195525,19.006093424349185,20.023077478443312,0,,16.050626445816675
1.38,13.987100039735914,14.579217924936088,15.670671123777442,17.060828078265057,18.68179822909476,20.388269521066757,21.546659418368183,0,,17.060828078265057
1.5,14.28312739780423,14.893648168212536,16.020243925919036,17.457406447870746,19.136280451013192,20.907461621048604,22.11199237073788,0,,17.457406447870746
1.62,14.788865414453854,15.4391972797757,16.643111643826863,18.1861957488711,19.9991492886029,21.92392993814747,23.24005024467667,0,,18.1861957488711
1.74,15.509780022107114,16.217223493809982,17.532517513927996,19.229004458717583,21.237772512928448,23.38869122591485,24.8708301454833,0,,19.229004458717583
1.86,14.98609924283848,15.650619605472842,16.88207067337541,18.46263208656481,20.32291039348056,22.301621876620366,23.65706528561428,0,,18.46263208656481
1.98,14.897544588521486,15.55821108587058,16.782508576743,18.35385827930517,20.20342024930113,22.170741327354968,23.518523363967784,0,,18.35385827930517
2.1,15.21364377926248,15.898351701780095,17.169376211824435,18.8049028473248,20.735960248157543,22.79702773305221,24.21338334448116,0,,18.8049028473248
2.34,15.913436994734354,16.656686220766247,18.042645416496736,19.83788253143747,21.97471762202978,24.27640717054668,25.870019378023397,0,,19.83788253143747
2.46,15.53996946506114,16.249857804346572,17.570076869216287,19.273431544698287,21.290972062874427,23.45215328858789,24.941809911879368,0,,19.273431544698287
2.58,16.035188577805567,16.78507256616466,18.183639208094142,19.99553386888705,22.15291905654257,24.4772879759207,26.087327382221577,0,,19.99553386888705
2.7,15.818607750237131,16.553799227448252,17.923833213246134,19.6968913493203,21.804988817082528,24.07270991270345,25.64178133916588,0,,19.6968913493203
2.94,16.50091106488869,17.2931749310287,18.775525287601575,20.70549778699696,23.01722108665784,25.524987328308804,27.272462856269456,0,,20.70549778699696
3.06,15.126765077303007,15.804367448994626,17.061551629355254,18.67787270981233,20.58438477184417,22.617067721984213,24.01214903074851,0,,18.67787270981233
3.18,16.266400837562166,17.038182815090508,18.48005398205137,20.35303643331241,22.590390013192245,25.00999111580772,26.69113109154768,0,,20.35303643331241
3.3,16.597166067806796,17.39587254125737,18.8907725981824,20.83780951451601,23.17129116833257,25.70421278026716,27.469944507400275,0,,20.83780951451601
3.42,16.135311376439176,16.895741438625898,18.31519226863625,20.15688276597101,22.353404965555804,24.724588429876885,26.37023620868518,0,,20.15688276597101
3.54,16.56304990244325,17.35875692279673,18.847677449504715,20.78638607240288,23.108879747119783,25.62876567573458,27.38474069786939,0,,20.78638607240288
3.66,18.09432880959186,19.025702103708447,20.78431807975908,23.10540356426735,25.933515261763,29.061753346371404,31.27947011530528,0,,23.10540356426735
3.9,17.624225753394782,18.5185659704314,20.20364017013569,22.421268620783177,25.11335645901847,28.07882751548659,30.17272082076069,0,,22.421268620783177
4.02,19.265733501818783,20.30888808035163,22.292517170538744,24.938698816460093,28.20699576122762,31.87950293770367,34.520103809310555,0,,24.938698816460093
4.14,17.30975028934606,18.17256946911712,19.7947369303813,21.921919083299507,24.49286770504744,27.31047867936513,29.29129349873337,0,,21.921919083299507
4.26,15.945268242000695,16.691280678552115,18.08261658022097,19.88530492036468,22.03184270760145,24.34494655783253,25.94696788032664,0,,19.88530492036468
4.38,15.45006356342732,16.154313533046626,17.463600105246137,19.152021719561063,21.151002279701608,23.291105594396974,24.7654628328911,0,,19.152021719561063
4.5,15.691002061060786,16.411742793326408,17.753034836807483,19.485139982703544,21.53929438323119,23.74266710792156,25.26294198904549,0,,19.485139982703544
4.62,20.043408088215656,21.1541317012388,23.273736942665582,26.11603293494088,29.64944324320029,33.65086310245073,36.54818734119344,0,,26.11603293494088
4.74,13.845161903332086,14.42498875309196,15.492609391744889,16.850030434495114,18.42951153359618,20.088474176788427,21.21243749995,0,,16.850030434495114
4.86,12.08565099655681,12.544980798047687,13.382304102217365,14.431425493158706,15.6310816350612,16.867392518506698,17.69163810406969,0,,14.431425493158706
4.98,12.22122076964312,12.689752951322752,13.544768708633214,14.617436027579044,15.845802977995053,17.113687795461512,17.96043169190581,0,,14.617436027579044
5.1,16.990314245811664,17.82627040340768,19.395232180742003,21.447384721082265,23.91972611485786,26.619450583409467,28.511478471543438,0,,21.447384721082265
5.22,22.265484213107232,23.616694964690023,26.23091497462053,29.81308217754199,34.392762539180644,39.75384673149912,43.75592824443938,0,,29.81308217754199
5.34,20.310468989748973,21.461091876013345,23.663457028964466,26.63175313917143,30.34557756915326,34.583017211079714,37.67286570327342,0,,26.63175313917143
5.46,33.001438336195406,35.7683889717291,41.429211029928936,49.83037445402379,61.41520839433504,74.93310428472134,83.53314569449498,0,,49.83037445402379
5.58,17.765831766213378,18.66406745392477,20.35583824484394,22.580623523206,25.279020059944155,28.247990929966782,30.343126470014163,0,,22.580623523206
