depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95
0.18,12.939046495883092,13.454473643976003,14.398298162501254,15.588710334751216,16.96126015099887,18.38786788975205,19.34650535381842
0.3,13.56043006777814,14.118536456710956,15.144274740658917,16.444942031480455,17.95282153940607,19.531075943462923,20.59685145557394
0.42,13.316260632174313,13.859049236649192,14.855507535003262,16.11667682957154,17.576867464929585,19.10151959211532,20.130438735116822
0.54,12.088569810308847,12.54668080622245,13.38169501619253,14.427704850084542,15.622815548288212,16.853888339827794,17.673942015607768
0.66,13.37572589374065,13.920067783899006,14.919449443985512,16.184293560786834,17.648543356285003,19.17692841836528,20.20736177388434
0.78,15.00914867762648,15.676943131456603,16.914511892441563,18.503474158861145,20.375037863646124,22.366764432647415,23.73211305519652
0.9,13.750528638647989,14.32287431167866,15.375994401674866,16.71334455009147,18.2680698737305,19.898383891924677,21.002045603546957
1.02,13.689276663100932,14.254947649437137,15.293357301554492,16.610873928677634,18.13976686863866,19.740585505965395,20.82212079471075
1.14,13.421584932576392,13.969079641921883,14.975034040714348,16.248695866999505,17.72369833214845,19.26427037450237,20.303336992708328
1.26,13.270749299113929,13.81017968689519,14.800196686092065,16.052827156682568,17.50215574526633,19.01467595422968,20.0348904913678
1.38,13.986966306855802,14.58009505412814,15.673671684969769,17.067088812426924,18.692115114208505,20.402893536321272,21.564112164939043
1.5,14.278217147400785,14.88919874143332,16.017388674659564,17.456742756658148,19.138725681124196,20.91345054615833,22.12056808072065
1.62,14.78532834831694,15.436483700600917,16.642191349202797,18.18815706760332,20.00471944772641,21.934049623036294,23.25306394838426
1.74,15.5061666323831,16.21465491766348,17.532094164250797,19.231386614934177,21.244302090029223,23.399970172924757,24.88620394067843
1.86,14.98085375100982,15.646383489089944,16.87949351552734,18.46242220185272,20.326028781815054,22.3087609954849,23.66725217413072
1.98,14.896436775854257,15.55811994577543,16.784663528818502,18.35956188865224,20.213457261089868,22.18585605769629,23.53650115030314
2.1,15.211417130087373,15.897209649085108,17.170322668040356,18.809068318924187,20.74445112517768,22.81118326465405,24.230936480537533
2.34,15.913574905548373,16.658007687390693,18.046756714736507,19.846178309384403,21.98850915687906,24.29644299063941,25.89381441206384
2.46,15.536481370918176,16.247414989407872,17.569827345503708,19.275906263517967,21.297714293821667,23.463663059957717,24.957816334739977
2.58,16.030818521282846,16.781789244898153,18.18244958295138,19.997246444198765,22.15886243598456,24.488270964091303,26.10247811240537
2.7,15.818409122007887,16.554896225690417,17.927425245754346,19.70459659966482,21.81814157531569,24.092743328031982,25.664867183258288
2.94,16.500553126662687,17.29407461503487,18.77938452127053,20.71365479244958,23.031120385694617,25.54559271853548,27.297115248400853
3.06,15.124274383459484,15.802911824990309,17.06228750180883,18.68145140748616,20.5922100057474,22.62988630551994,24.02964098548497
3.18,16.26527642072887,17.038402574277335,18.48273070983636,20.3596991513507,22.60240352073101,25.029150021924416,26.715541671115897
3.3,16.59451673285674,17.394446290132585,18.89197194666603,20.84254321853828,23.181161043540243,25.71996852705925,27.490938444808947
3.42,16.133702027807683,16.895457427325766,18.31759304065703,20.16265392648833,22.36428919061523,24.741423416239098,26.393301467631574
3.54,16.56030094724259,17.357191040892726,18.84869386608479,20.79098546347632,23.11851086072272,25.644305084522216,27.40485092373396
3.66,18.09088789552762,19.023589463474305,20.784843053562145,23.11019392210095,25.94445582542417,29.080425799291955,31.30579832944129
3.9,17.628023492225868,18.523912536761816,20.212954440065293,22.436438389870048,25.13755885632836,28.11350804265296,30.21280092405905
4.02,19.26267837006904,20.307361068381443,22.29436603764605,24.945326981664472,28.220901777095616,31.9026597235932,34.54997358595478
4.14,17.309402038498618,18.17384622468465,19.799234363921794,21.93080016549707,24.5080513939186,27.333001558349228,29.322939059939166
4.26,15.9455132894312,16.69270855506042,18.086912883930825,19.893787821384358,22.04583082416924,24.36505963631757,25.97137629596109
4.38,15.448558654504984,16.153889281110136,17.465623104874197,19.157587028683423,21.161123675429668,23.306525155515445,24.78478847073814
4.5,15.685811674550113,16.407255703912227,17.750396640520883,19.48514281973475,21.54322676629853,23.75112708807384,25.27518891273571
4.62,20.029744527524755,21.14061966989676,23.261051578639066,26.10537116904937,29.641885256977336,33.64811297072175,36.55005966062515
4.74,13.84266241390794,14.423335402752022,15.492745692304345,16.852655451237336,18.435581287559128,20.098755955951678,21.225400148572355
4.86,12.08553191357173,12.545813905335832,13.3846995506482,14.436316595585984,15.639080296836106,16.878550304668256,17.704504520177757
4.98,12.221643958460955,12.69100515450354,13.547924144121916,14.62309368207881,15.85447413371458,17.125848580150333,17.976107415388114
5.1,16.991740560205088,17.829053548709588,19.40127586664781,21.458517945195908,23.938086931132997,26.646580203536185,28.543028263351545
5.22,22.25586094984133,23.608248058933565,26.225250030531832,29.812196343537455,34.39989851485606,39.77128887772613,43.78345078103566
5.34,20.31071194464561,21.463518488257552,23.670054387445425,26.64474627188374,30.36812495252207,34.61767870202727,37.72206858986892
5.46,32.98013492214056,35.747757108768894,41.41041605255105,49.817076143177374,61.41056628385921,74.9375024190519,83.54272503606263
5.58,17.75851945184276,18.65784820484385,20.35154958882613,22.57950227775768,25.281958383524675,28.25688320548728,30.35631237081797
5.7,10.481040182719465,10.84117733142295,11.491538697041417,12.29565138010348,13.20037830641209,14.116930827240273,14.71997298556908
5.94,58.05807855193489,63.34812285429616,72.97497166101002,83.62243255540088,92.21754860429256,96.9280663730066,98.46430495889769
6.06,14.298060084470222,14.913910979905726,16.051091014716512,17.50365147563098,19.20303562786497,20.998885417221096,22.22077320332767
6.18,54.96706543769464,60.2058981572118,69.94423089863191,81.2484132151887,90.8538978157072,96.3498257164536,98.16976203453194
6.3,13.054053965805064,13.58031339182386,14.54509329512478,15.764278741359954,17.172867920419286,18.640996898799187,19.62768884967983
6.42,21.44137348260506,22.709378332221323,25.152737333064124,28.47998925589389,32.69749774414111,37.585731337803686,41.20288181438462
6.54,38.99289290569181,42.64327604418197,50.1543785236844,61.10489126635965,74.79650638416399,87.20926130076204,92.90467792743662
6.66,20.35490193262238,21.502822479656768,23.69918472141099,26.6556870041134,30.35043600800762,34.55815560871044,37.62224564947478
6.78,28.43727733941674,30.562326664451227,34.82753339213723,41.01074847651728,49.49396162612565,60.12370333231225,68.25741140696614
6.9,15.125970931552745,15.80831174792912,17.075004831515063,18.7051640713707,20.63024945822521,22.68702681368947,24.101107332490315
7.0,12.897140296101332,13.40998586663226,14.348965108892068,15.533124766389392,16.89775419951557,18.315728902188336,19.26848561793318
7.1,5.709988076737205,5.838050577461187,6.057902269383568,6.319125235089952,6.600493173262308,6.869343823671999,7.040794646966713
7.3,16.73762589042466,17.547885295290666,19.0658581776033,21.044717027585115,23.420104332253995,26.00176977818514,27.805122541097795
7.49,14.23506237415199,14.845239124708169,15.971654881201747,17.408868953538,19.08898519747864,20.86248970100001,22.069035658792373
7.69,14.364139098203609,14.982951358716027,16.125884839574088,17.586026585535745,19.29390247169327,21.098844516210505,22.327533747697373
7.89,15.249991511216964,15.938399203880095,17.21659010686303,18.862453862987845,20.806555846895,22.883216892546034,24.30998659942021
8.09,12.279632955668411,12.755373691538804,13.624481887896994,14.71651043939559,15.96836930614961,17.26515120867973,18.130343940698864
8.29,13.407205532713157,13.962213081927734,14.982590428764404,16.27750613760617,17.780465970601668,19.356902181919743,20.419437108144304
8.48,15.800219455321606,16.531206809250655,17.89263704586931,19.653279060545973,21.743827536491505,23.99036562923472,25.54231817838604
9.08,11.305794737723554,11.716952769413252,12.463632067511686,13.39345988930587,14.44864485669631,15.52821600403054,16.243607510622734
9.84,12.875271355174393,13.392099244992597,14.339730495728192,15.536691743116265,16.917857675935554,18.35519038458244,19.325940079011566
10.45,12.31010075276287,12.786955771173886,13.657849457994654,14.751806954343657,16.00649740061806,17.305121664089018,18.171483988480546
11.06,12.268959665747987,12.745132728917907,13.61506467873513,14.70871939203923,15.962143846301167,17.261874776686245,18.12885953087218
11.67,12.514688428212104,13.008239014708636,13.911277559091138,15.04888078414238,16.35718677141946,17.713873529666184,18.62849325739294
12.28,10.767164646275612,11.143323510975424,11.82355274525731,12.66606963833452,13.616652015122174,14.582141424104302,15.21819616111686
12.89,13.281263130063246,13.827836296249302,14.83270272162816,16.107293130170138,17.583676037118305,19.12945027549281,20.177466572004946
13.5,12.932754835655976,13.45504227704089,14.413158189515134,15.625080766697009,17.023419129521827,18.484040799062964,19.46793203917479
14.11,12.329450657636189,12.809951071090753,13.687951798944402,14.792111492424958,16.060140336467498,17.373509971229264,18.248932504338764
14.72,12.525713784633044,13.021369507908211,13.928238701091962,15.071603943116946,16.3863198247892,17.751674192454498,18.672472406897203
15.33,11.05636370488996,11.458659606696356,12.187489036886063,13.096931357230504,14.126078976133009,15.18332744748226,15.876901273439003
15.94,11.927929745162322,12.385289842400825,13.218781100796765,14.266121782975029,15.461429609419149,16.701493424952687,17.523847062815584
