Depth (cm),Ni (ppm),Co (ppm)
100.78,3.51,0.36
101.25,3.09,0.35
101.71,3.27,0.35
102.18,3.34,0.37
102.65,3.27,0.35
103.11,3.58,0.37
103.6,3.59,0.38
104.1,3.39,0.36
104.6,3.15,0.34
105.1,3.09,0.34
105.6,3.07,0.34
106.1,3.57,0.38
106.6,3.46,0.35
107.1,3.28,0.34
107.6,3.42,0.35
108.1,3.31,0.35
108.6,3.47,0.37
109.1,3.51,0.37
109.6,3.35,0.33
110.1,3.48,0.33
110.6,3.42,0.36
111.1,9.07,0.39
111.6,3.54,0.34
112.1,3.5,0.34
112.6,3.59,0.36
113.1,3.51,0.35
113.6,4.66,0.35
114.1,2.92,0.31
114.6,3.37,0.35
115.1,3.46,0.33
115.6,3.3,0.35
116.1,3.3,0.33
116.6,3.06,0.29
117.1,3.37,0.32
117.6,3.67,0.34
118.1,3.69,0.38
118.6,3.26,0.35
119.1,3.38,0.34
119.6,3.13,0.34
120.1,3.57,0.33
120.6,3.52,0.35
121.1,3.11,0.31
121.6,3.19,0.32
122.1,3.17,0.35
122.6,3.2,0.34
123.1,3.44,0.35
123.6,3.23,0.32
124.1,3.31,0.34
124.59,3.2,0.31
125.07,3.26,0.35
125.56,3.25,0.35
126.04,3.22,0.34
126.52,3.3,0.36
127.01,3.29,0.35
127.52,3.3,0.32
128.05,3.16,0.34
128.59,2.98,0.31
129.12,3.25,0.35
129.65,3.08,0.32
130.19,3.22,0.34
130.73,3.32,0.34
131.28,3.44,0.32
131.83,3.15,0.33
132.38,3.97,0.39
132.93,2.76,0.27
133.48,3.29,0.33
134.08,3.19,0.35
134.71,3.03,0.32
135.34,3.05,0.32
135.97,3.33,0.33
136.6,3.03,0.33
137.23,3.03,0.32
137.86,3.11,0.33
138.49,3.47,0.35
139.12,3.59,0.34
139.75,3.09,0.3
140.3,3.15,0.34
140.8,4.17,0.43
141.3,3.32,0.33
141.8,3.43,0.35
142.3,3.89,0.34
142.8,2.75,0.27
143.3,3.53,0.31
143.8,2.8,0.27
144.3,3.6,0.36
144.8,3.27,0.33
145.34,2.88,0.29
145.9,3.34,0.33
146.46,3.32,0.33
147.02,2.76,0.27
147.58,3.13,0.3
148.14,2.85,0.3
148.7,2.96,0.29
149.26,2.76,0.29
149.82,3.58,0.31
150.38,3.15,0.3
150.88,3.08,0.3
151.34,3.23,0.3
151.8,2.48,0.26
152.26,2.57,0.25
152.72,3.48,0.33
153.18,3.03,0.31
153.64,3.37,0.32
154.1,3.26,0.35
154.56,3.07,0.28
155.02,2.76,0.28
155.2,7.77,1.91
155.6,7.56,1.97
155.74,4.48,1
155.87,7.69,2
156.23,10.7,3.73
156.38,5.06,1.01
156.38,8.27,2.06
156.64,10.8,3.58
156.88,10.1,3.29
157.01,7.02,1.41
157.1,6.6,1.29
157.3,6.5,1.32
157.48,2.87,0.3
157.48,6.25,1.27
157.65,8.65,1.85
157.8,6.77,1.48
157.9,3.09,0.31
158.33,3.7,0.36
158.75,3.26,0.35
159.18,3.49,0.32
159.6,3.15,0.31
160.03,2.88,0.27
160.46,2.8,0.29
160.96,2.9,0.3
161.46,3.15,0.29
161.96,2.7,0.29
162.46,2.79,0.29
162.96,2.99,0.27
163.46,3.12,0.32
163.96,2.99,0.3
164.46,3.48,0.35
164.96,3.47,0.35
165.46,4.41,0.45
165.96,2.89,0.31
166.46,2.53,0.27
166.96,3.02,0.29
167.46,2.88,0.29
167.96,4.08,0.45
168.46,3.33,0.37
168.96,3.02,0.32
169.46,2.92,0.29
169.91,2.43,0.28
170.36,2.75,0.28
170.81,3.08,0.33
171.26,3.08,0.36
171.71,3.06,0.32
172.16,2.82,0.33
172.61,2.96,0.33
173.06,3.25,0.37
173.51,3.06,0.33
173.96,2.95,0.35
174.41,3.08,0.39
174.86,2.84,0.34
175.46,3.07,0.32
176.06,3.44,0.35
176.66,3.08,0.24
177.26,2.67,0.21
177.86,3.06,0.27
178.46,2.75,0.24
179.02,2.79,0.25
179.59,2.76,0.25
180.15,2.77,0.22
180.72,2.91,0.26
181.29,2.67,0.23
181.86,2.86,0.26
182.36,2.69,0.24
182.86,2.93,0.27
183.36,2.9,0.28
183.86,2.95,0.24
184.36,2.67,0.23
184.86,2.75,0.26
185.26,3.12,0.28
185.66,3.12,0.27
186.06,2.86,0.23
186.46,2.79,0.21
186.86,2.61,0.22
187.26,2.97,0.24
187.66,2.92,0.23
188.06,2.65,0.21
188.46,2.69,0.22
188.86,2.68,0.21
189.26,2.9,0.24
189.66,2.91,0.2
190.06,3.38,0.29
190.46,2.9,0.21
190.86,3.05,0.27
191.26,3.43,0.29
191.66,2.72,0.22
192.06,2.9,0.24
192.56,2.77,0.23
193.06,2.61,0.21
193.56,2.98,0.26
194.06,2.94,0.23
194.56,3.24,0.27
195.06,2.79,0.23
195.46,3.06,0.25
195.86,2.96,0.25
196.26,2.78,0.25
196.66,2.77,0.23
197.06,2.87,0.23
197.46,2.69,0.25
197.86,2.75,0.22
198.26,2.84,0.23
198.66,2.59,0.22
199.06,2.8,0.25
199.46,2.92,0.24
199.86,2.75,0.24
200.21,3.1,0.26
200.56,2.6,0.25
200.91,4.44,0.47
201.26,2.33,0.22
201.61,2.62,0.2
201.96,2.18,0.17
202.37,2.52,0.22
202.79,2.67,0.22
203.2,2.71,0.24
203.62,2.77,0.21
204.04,2.7,0.22
204.46,2.54,0.2
204.92,2.67,0.22
205.39,2.37,0.22
205.86,2.79,0.23
206.32,2.77,0.25
206.79,2.81,0.23
207.26,2.96,0.23
207.67,2.73,0.23
208.09,3.02,0.26
208.5,2.86,0.23
208.92,2.95,0.24
209.34,2.7,0.23
209.76,2.88,0.25
210.22,3.15,0.23
210.68,2.9,0.22
211.14,2.96,0.22
211.6,3.42,0.25
212.06,3.09,0.22
212.52,2.79,0.22
212.98,2.68,0.25
213.44,2.77,0.2
213.9,3.17,0.36
214.36,2.77,0.24
215,4.3,0.4
215.64,2.72,0.2
216.28,3.06,0.23
216.92,3.21,0.26
217.56,3.84,0.35
218.2,3.18,0.25
218.84,3.12,0.26
219.48,3,0.24
220.12,2.73,0.2
220.76,2.62,0.2
221.19,2.82,0.19
221.62,2.97,0.2
222.05,2.78,0.2
222.48,2.83,0.24
222.91,2.77,0.21
223.34,2.82,0.22
223.77,2.97,0.23
224.2,2.94,0.23
224.63,2.96,0.22
225.06,2.78,0.22
225.53,2.88,0.21
226,2.89,0.23
226.47,2.78,0.22
226.94,2.7,0.21
227.41,2.7,0.21
227.88,2.84,0.23
228.35,2.79,0.23
228.82,2.41,0.19
